strategy,node_id,body_zone,actuator_type,final_PT,final_PE,final_PSM,final_NPSM,final_TU,final_state,battery_level_pct,radio_active_time_s,energy_consumed_j,packet_count,allocated_sync_interval_ms,allocated_beacon_interval_ms,allocated_radio_wakeup_interval_ms,allocated_transmit_power_pct,allocated_trigger_offset_ms
Uniform,HN-027,Foot,ERM,55.125,24.89905685307931,30.22594314692069,0.5483164289690828,45.168357103091715,NOMINAL,85.2639999999999,4.800000000000003,6.179999999999896,0,1000.0,60.0,250.0,50.0,-13.69
Uniform,HN-028,Foot,ERM,55.125,37.123293753531186,18.001706246468814,0.32656156456179253,67.34384354382075,NOMINAL,90.0639999999999,4.800000000000003,6.179999999999896,0,1000.0,60.0,250.0,50.0,-24.99
Uniform,HN-029,Foot,ERM,55.125,42.87174535089534,12.253254649104662,0.22228126347582153,77.77187365241784,ELEVATED,84.5639999999999,4.800000000000003,6.179999999999896,0,1000.0,60.0,250.0,50.0,-29.18
Uniform,HN-030,Foot,ERM,55.125,22.481392454412486,32.643607545587514,0.5921742865412701,40.782571345872995,NOMINAL,91.0639999999999,4.800000000000003,6.179999999999896,0,1000.0,60.0,250.0,50.0,-18.59
PSM-Adaptive,HN-001,Fingertip,LRA,57.75,19.538873632881593,38.21112636711841,0.6616645258375482,33.83354741624519,RELAXED,84.21296000000005,4.568000000000003,5.935199999999904,0,1200.0,100.0,500.0,20.0,-19.34
PSM-Adaptive,HN-002,Fingertip,LRA,57.75,24.688137289506177,33.06186271049383,0.5724997871946983,42.75002128053018,RELAXED,90.41524000000094,3.1920000000000024,4.423799999999974,0,1200.0,100.0,500.0,20.0,-5.5
PSM-Adaptive,HN-003,Fingertip,LRA,57.75,38.41904168044293,19.33095831955707,0.3347352089966592,66.52647910033409,NOMINAL,92.09228000000027,4.224000000000003,5.538599999999923,0,600.0,60.0,250.0,50.0,-18.58
PSM-Adaptive,HN-004,Fingertip,LRA,57.75,28.88512842761446,28.86487157238554,0.499824615972044,50.0175384027956,NOMINAL,89.28436000000113,2.888000000000002,4.0781999999999865,0,600.0,60.0,250.0,50.0,-14.12
PSM-Adaptive,HN-005,Fingertip,LRA,57.75,50.10524436767781,7.6447556323221875,0.1323767209060119,86.7623279093988,ELEVATED,92.72959999999986,7.680000000000006,6.851999999999914,0,300.0,40.0,100.0,80.0,-40.96
PSM-Adaptive,HN-006,Fingertip,LRA,57.75,20.928112386522216,36.821887613477784,0.6376084435234248,36.23915564765752,NOMINAL,96.55352000000106,3.0160000000000022,4.2323999999999815,0,600.0,60.0,250.0,50.0,-15.31
PSM-Adaptive,HN-007,Hand,ERM,66.15,32.070568366790496,34.07943163320951,0.5151841516736131,48.48158483263869,NOMINAL,88.5054800000012,2.784000000000002,3.972599999999991,0,750.0,60.0,250.0,50.0,-26.49
PSM-Adaptive,HN-008,Hand,ERM,66.15,28.46198848935431,37.688011510645694,0.569735623743699,43.026437625630095,NOMINAL,89.30687999999988,6.0240000000000045,6.465599999999895,0,750.0,60.0,250.0,50.0,-23.38
PSM-Adaptive,HN-009,Hand,ERM,66.15,51.62252582311018,14.527474176889825,0.21961412209961942,78.03858779003806,ELEVATED,94.57551999999988,6.696000000000005,6.622399999999898,0,375.0,40.0,100.0,80.0,-28.63
PSM-Adaptive,HN-010,Hand,ERM,66.15,22.1402672883183,44.00973271168171,0.6653020818092472,33.469791819075276,RELAXED,96.88600000000145,2.4000000000000017,3.5699999999999945,0,1500.0,100.0,500.0,20.0,-10.81
PSM-Adaptive,HN-011,Forearm,ERM,71.66250000000001,15.738358370533383,55.924141629466625,0.780382231005988,21.961776899401194,RELAXED,98.24284000000101,3.0720000000000023,4.285799999999973,0,1800.0,100.0,500.0,20.0,-8.03
PSM-Adaptive,HN-012,Forearm,ERM,71.66250000000001,21.85864955327081,49.8038504467292,0.6949778537830692,30.502214621693085,RELAXED,88.17416000000111,2.928000000000002,4.129199999999994,0,1800.0,100.0,500.0,20.0,-13.96
PSM-Adaptive,HN-013,Forearm,ERM,71.66250000000001,12.963690011828007,58.698809988172,0.8191007847643048,18.089921523569515,RELAXED,87.58600000000145,2.4000000000000017,3.5699999999999945,0,1800.0,100.0,500.0,20.0,-6.95
PSM-Adaptive,HN-014,Forearm,ERM,71.66250000000001,47.7080253010876,23.954474698912406,0.3342679183521703,66.57320816478297,NOMINAL,95.54191999999988,7.416000000000006,6.790399999999916,0,900.0,60.0,250.0,50.0,-29.07
